"year","area","housing_units_total","housing_units_rental","housing_units_other","median_rent","population_total","population_poverty_below","population_poverty_above","population_race_white","population_race_black","population_race_latinx","population_race_asian","population_race_other"
"2013-2017 5-year estimates",53,11223.000,3724.000,7499.000,"657.00 - 1471.00",27742.000,8060.000,19682.000,158.000,25634.000,1682.000,65.000,203.000
"2013-2017 5-year estimates",54,3304.000,2305.000,999.000,"379.00 - 445.00",7394.000,4651.000,2743.000,151.000,6882.000,306.000,23.000,32.000
"2013-2017 5-year estimates",55,3943.000,1103.000,2840.000,"826.00 - 1052.00",9384.000,1496.000,7888.000,3645.000,341.000,5380.000,0.000,18.000
"2013-2017 5-year estimates",56,12847.000,2409.000,10438.000,"764.00 - 1355.00",36452.000,2562.000,33890.000,16275.000,1602.000,17892.000,360.000,323.000
"2013-2017 5-year estimates",57,4291.000,1896.000,2395.000,"694.00 - 924.00",13169.000,2457.000,10712.000,2218.000,115.000,10201.000,583.000,52.000
"2013-2017 5-year estimates",58,13941.000,6605.000,7336.000,"784.00 - 942.00",44813.000,10954.000,33859.000,3160.000,433.000,37301.000,3623.000,296.000
"2013-2017 5-year estimates",59,5554.000,2406.000,3148.000,"771.00 - 927.00",15767.000,3957.000,11810.000,2667.000,164.000,9550.000,3106.000,280.000
"2013-2017 5-year estimates",60,13845.000,7163.000,6682.000,"836.00 - 1022.00",33696.000,6215.000,27481.000,11340.000,848.000,8073.000,13156.000,279.000
"2013-2017 5-year estimates",61,15460.000,8685.000,6775.000,"689.00 - 1182.00",39646.000,12695.000,26951.000,4899.000,8843.000,24548.000,1043.000,313.000
"2013-2017 5-year estimates",62,5463.000,1591.000,3872.000,"793.00 - 1133.00",19210.000,2101.000,17109.000,2722.000,266.000,15820.000,378.000,24.000
"2013-2017 5-year estimates",63,10722.000,4828.000,5894.000,"670.00 - 930.00",40873.000,7564.000,33309.000,1532.000,1448.000,37659.000,193.000,41.000
"2013-2017 5-year estimates",64,9242.000,2939.000,6303.000,"882.00 - 1206.00",25891.000,2541.000,23350.000,11176.000,400.000,13698.000,184.000,433.000
"2013-2017 5-year estimates",65,9807.000,2711.000,7096.000,"876.00 - 1139.00",33108.000,5382.000,27726.000,5033.000,1152.000,26666.000,185.000,72.000
"2013-2017 5-year estimates",66,18997.000,10105.000,8892.000,"778.00 - 1064.00",53098.000,14530.000,38568.000,1878.000,23801.000,26322.000,227.000,870.000
"2013-2017 5-year estimates",67,12889.000,5664.000,7225.000,"685.00 - 1273.00",29929.000,10044.000,19885.000,289.000,27304.000,1918.000,4.000,414.000
"2013-2017 5-year estimates",68,14227.000,7749.000,6478.000,"556.00 - 1019.00",25075.000,11355.000,13720.000,181.000,23711.000,843.000,68.000,272.000
"2013-2017 5-year estimates",69,15638.000,8992.000,6646.000,"375.00 - 967.00",31766.000,11965.000,19801.000,393.000,30556.000,450.000,4.000,363.000
"2013-2017 5-year estimates",70,13612.000,2214.000,11398.000,"860.00 - 1128.00",43792.000,5099.000,38693.000,4745.000,20837.000,16924.000,315.000,971.000
"2013-2017 5-year estimates",71,20614.000,10837.000,9777.000,"705.00 - 1457.00",46278.000,13384.000,32894.000,324.000,44435.000,862.000,143.000,514.000
"2013-2017 5-year estimates",72,8048.000,1548.000,6500.000,"654.00 - 1070.00",20822.000,957.000,19865.000,12012.000,7031.000,1095.000,163.000,521.000
"2013-2017 5-year estimates",73,10470.000,3301.000,7169.000,"783.00 - 1257.00",27453.000,5415.000,22038.000,183.000,26293.000,215.000,8.000,754.000
"2013-2017 5-year estimates",74,7032.000,1009.000,6023.000,"1051.00 - 1268.00",19277.000,710.000,18567.000,16330.000,629.000,1652.000,433.000,233.000
"2013-2017 5-year estimates",75,8988.000,2643.000,6345.000,"739.00 - 1168.00",22387.000,4021.000,18366.000,6202.000,14712.000,844.000,30.000,599.000
"2013-2017 5-year estimates",76,6666.000,3712.000,2954.000,"898.00 - 1128.00",12343.000,1858.000,10485.000,9863.000,150.000,791.000,979.000,559.000
"2013-2017 5-year estimates",77,32590.000,20472.000,12118.000,"791.00 - 1375.00",55965.000,9313.000,46652.000,30785.000,7446.000,9326.000,6579.000,1829.000
